Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,89.544502,89.868599,88.866798,89.279297,54.284184,4060071
2003-01-02,103.127998,103.127998,88.100700,88.306999,53.693005,3583474
2003-01-03,89.573997,89.573997,87.570297,87.776604,53.370499,2691175
2003-01-06,88.012299,88.012299,85.301498,85.831902,52.188072,3361099
2003-01-07,86.362297,87.040001,85.890800,86.362297,52.510567,2626801
2003-01-08,86.627502,88.454300,86.332802,87.982903,53.495941,3980306
2003-01-09,88.866798,89.132004,87.923897,88.778397,53.979626,2759576
2003-01-10,88.984703,89.573997,87.629303,88.071297,53.549694,3672330
2003-01-13,88.395401,89.514999,88.100700,88.218597,53.639244,2352050
2003-01-14,88.277496,89.102501,87.393501,88.130203,53.585499,4079754
2003-01-15,88.395401,88.572197,87.305199,87.629303,53.280949,3007106
2003-01-16,87.422997,89.338203,87.393501,88.631104,53.890068,3067959
2003-01-17,88.896301,90.752602,88.778397,90.369499,54.947052,4826413
2003-01-20,90.575798,92.343697,90.575798,91.459702,55.609924,6451623
2003-01-21,92.019600,93.934799,91.400803,93.492798,56.846104,5854961
2003-01-22,93.816902,95.349098,92.844597,93.168701,56.649048,7281892
2003-01-23,93.404404,95.614304,92.166901,95.025002,57.777721,12347836
2003-01-24,95.967903,96.350998,91.636497,92.078499,55.986172,9620953
2003-01-27,91.783897,91.872299,89.456100,90.163300,54.821671,5752330
2003-01-28,90.163300,91.783897,87.864998,90.929398,55.287495,9506110
2003-01-29,91.931198,92.874100,90.222198,91.017799,55.341228,5348440
2003-01-30,91.341904,92.019600,89.632896,89.986504,54.714191,6094763
2003-01-31,90.104301,90.104301,88.159698,89.603401,54.481255,5288643
2003-02-03,89.868599,92.166901,89.868599,91.489197,55.627865,3826404
2003-02-04,92.402603,93.021400,90.811501,91.047203,55.359123,3709243
2003-02-05,90.811501,91.607101,90.045403,91.017799,55.341228,2799035
2003-02-06,90.752602,92.432098,90.546303,92.078499,55.986172,2988112
2003-02-07,92.638397,94.229500,91.813301,92.874100,56.469925,5686605
2003-02-10,92.991898,92.991898,90.958801,91.165100,55.430809,2344070
2003-02-11,91.607101,92.137398,90.487396,91.017799,55.341228,2717386
2003-02-12,91.165100,91.754402,90.310600,90.781998,55.197865,1895780
2003-02-13,null,null,null,null,null,null
2003-02-14,91.047203,91.047203,88.807899,89.073097,54.158802,3961675
2003-02-17,90.428497,91.017799,90.163300,90.310600,54.911247,3855993
2003-02-18,90.752602,92.697304,90.752602,91.489197,55.627865,7211540
2003-02-19,92.461502,93.139297,91.813301,92.166901,56.039921,5988307
2003-02-20,91.931198,92.343697,90.457901,90.634697,55.108303,4346279
2003-02-21,90.634697,90.958801,89.220398,89.397202,54.355873,6150071
2003-02-24,89.839203,91.106201,89.279297,89.485603,54.409618,4240882
2003-02-25,89.544502,89.544502,87.422997,87.894501,53.442192,4614208
2003-02-26,87.511398,89.102501,86.450699,87.128403,52.976398,16096907
2003-02-27,87.128403,88.984703,86.951599,87.540901,53.227188,14493205
2003-02-28,88.660599,90.546303,87.806099,88.631104,53.890068,11978175
2003-03-03,89.279297,89.573997,87.334602,87.570297,53.245068,5142266
2003-03-04,87.216797,87.334602,85.006897,85.272102,51.847706,6451696
2003-03-05,85.006897,86.863197,83.975601,86.391701,52.528446,9482862
2003-03-06,86.686401,86.774803,83.504204,83.857697,50.987717,7681794
2003-03-07,82.502296,83.386299,81.029099,81.294296,49.429089,8095676
2003-03-10,81.264801,81.618401,79.438004,79.762100,48.497475,5697365
2003-03-11,78.760300,81.588898,78.760300,81.029099,49.267841,7809119
2003-03-12,81.087997,81.913002,79.909401,80.734398,49.088657,7055733
2003-03-13,81.264801,81.264801,79.084396,79.555801,48.372047,5111411
2003-03-14,null,null,null,null,null,null
2003-03-17,79.555801,79.791496,77.817398,79.025497,48.049603,4388246
2003-03-18,null,null,null,null,null,null
2003-03-19,80.145103,81.117500,79.555801,80.027298,48.658726,4077024
2003-03-20,80.145103,82.413902,79.850502,82.060402,49.894909,4926304
2003-03-21,82.296097,83.622002,81.913002,83.062202,50.504021,4033138
